I.D. Number,Customer Class,Node,Arrival Date,Waiting Time,Service Start Date,Service Time,Service End Date,Time Blocked,Exit Date,Destination,Queue Size at Arrival,Queue Size at Departure
3,4,3,46.10273031377869,0.0,46.10273031377869,39.15621983706009,85.25895015083879,0.0,85.25895015083879,-1,2,3
4,1,1,44.62639610167814,0.0,44.62639610167814,0.012968818126637416,44.63936491980478,0.0,44.63936491980478,2,0,0
4,1,2,44.63936491980478,0.0,44.63936491980478,6.509853591182221,51.149218510987,0.0,51.149218510987,3,1,1
4,1,3,51.149218510987,0.0,51.149218510987,44.48475886442901,95.63397737541601,0.0,95.63397737541601,-1,3,3
7,3,1,84.8868114848555,0.0,84.8868114848555,0.264241832743366,85.15105331759887,0.0,85.15105331759887,2,0,0
7,3,2,85.15105331759887,0.0,85.15105331759887,3.581498838892756,88.73255215649162,0.0,88.73255215649162,3,0,0
7,3,3,88.73255215649162,0.0,88.73255215649162,37.005635915395786,125.73818807188741,0.0,125.73818807188741,-1,3,3
10,3,1,109.9115572140283,0.0,109.9115572140283,0.24476763189530004,110.1563248459236,0.0,110.1563248459236,2,0,0
10,3,2,110.1563248459236,0.0,110.1563248459236,6.623699749585327,116.78002459550893,0.0,116.78002459550893,3,0,0
10,3,3,116.78002459550893,0.0,116.78002459550893,49.82089879235022,166.60092338785915,0.0,166.60092338785915,-1,3,3
6,3,1,54.567128571219655,0.0,54.567128571219655,0.1986204347556182,54.76574900597527,0.0,54.76574900597527,2,0,0
6,3,2,54.76574900597527,0.0,54.76574900597527,5.33508203672168,60.10083104269695,0.0,60.10083104269695,3,1,0
6,3,3,60.10083104269695,10.569898116317432,70.67072915901439,37.07971931080668,107.75044846982107,0.0,107.75044846982107,4,5,4
6,3,4,107.75044846982107,0.0,107.75044846982107,11.66575479943262,119.41620326925369,0.0,119.41620326925369,5,0,1
6,3,5,119.41620326925369,0.0,119.41620326925369,46.89675052806692,166.3129537973206,0.0,166.3129537973206,6,0,1
6,3,6,166.3129537973206,0.0,166.3129537973206,10.732495389144248,177.04544918646485,0.0,177.04544918646485,7,1,0
6,3,7,177.04544918646485,0.0,177.04544918646485,10.507939675794205,187.55338886225906,0.0,187.55338886225906,-1,1,1
5,1,1,50.33521603848196,0.0,50.33521603848196,0.18734169329687944,50.52255773177884,0.0,50.52255773177884,2,0,0
5,1,2,50.52255773177884,0.0,50.52255773177884,5.106367121808141,55.62892485358698,0.0,55.62892485358698,3,1,1
5,1,3,55.62892485358698,9.74724476414228,65.37616961772926,49.36830613150032,114.74447574922958,0.0,114.74447574922958,4,4,3
5,1,4,114.74447574922958,0.0,114.74447574922958,10.659446274250385,125.40392202347996,0.0,125.40392202347996,5,1,0
5,1,5,125.40392202347996,0.0,125.40392202347996,34.50216993960538,159.90609196308534,0.0,159.90609196308534,6,1,1
5,1,6,159.90609196308534,0.0,159.90609196308534,14.772436055965812,174.67852801905116,0.0,174.67852801905116,7,0,1
5,1,7,174.67852801905116,0.0,174.67852801905116,14.952386413979042,189.6309144330302,0.0,189.6309144330302,-1,0,0
12,2,1,137.3053376386895,0.0,137.3053376386895,0.01753155233396342,137.32286919102347,0.0,137.32286919102347,2,0,0
12,2,2,137.32286919102347,0.0,137.32286919102347,5.758759693607942,143.0816288846314,0.0,143.0816288846314,3,0,0
12,2,3,143.0816288846314,5.726676930888402,148.80830581551982,44.26827069168155,193.07657650720137,0.0,193.07657650720137,-1,4,4
13,1,1,149.43161033888725,0.0,149.43161033888725,0.1591787399623854,149.59078907884964,0.0,149.59078907884964,2,0,0
13,1,2,149.59078907884964,0.0,149.59078907884964,4.90193764190002,154.49272672074966,0.0,154.49272672074966,3,0,0
13,1,3,154.49272672074966,11.682817577504295,166.17554429825395,51.977164669294154,218.1527089675481,0.0,218.1527089675481,-1,4,3
8,3,1,92.00504509324497,0.0,92.00504509324497,0.40821842191397195,92.41326351515895,0.0,92.41326351515895,2,0,0
8,3,2,92.41326351515895,0.0,92.41326351515895,4.349664316609264,96.76292783176821,0.0,96.76292783176821,3,0,1
8,3,3,96.76292783176821,0.0,96.76292783176821,52.04537798375161,148.80830581551982,0.0,148.80830581551982,4,3,4
8,3,4,148.80830581551982,0.0,148.80830581551982,14.82586275862002,163.63416857413984,0.0,163.63416857413984,5,0,0
8,3,5,163.63416857413984,0.0,163.63416857413984,40.06706346323239,203.70123203737222,0.0,203.70123203737222,6,1,2
